date,equal_weight,inverse_volatility,minimum_variance
2023-07-03,-2.7266666666666498e-05,0.00019010695010269172,0.000583798525733303
2023-07-04,0.0004128333333333334,2.6857336684969865e-05,-0.000558595272358277
2023-07-05,-0.0026642,-0.0018828329172860887,-0.005150302615891835
2023-07-06,-0.0019540666666666667,-0.0022155114822684312,-0.0010626958291838416
2023-07-07,-0.002363433333333333,-0.0024547006774052827,-0.0008182940638469826
2023-07-10,0.002637133333333333,0.0023929655708181015,0.001296242060259086
2023-07-11,-0.0014498333333333331,-0.0015386846609791423,-0.0014333427391243288
2023-07-12,0.0025849666666666674,0.002606308680277582,0.0022736486397342956
2023-07-13,-0.00023096666666666668,-0.00023000633190032742,-0.0006793243858299737
2023-07-14,0.002754533333333333,0.0025836757048347484,0.004621758866677017
2023-07-17,0.0028140666666666664,0.002495226562097122,0.0014043595224974346
2023-07-18,0.0022467999999999998,0.0018020234693213455,0.0024830694745489757
2023-07-19,0.0021533666666666666,0.0024177894772087643,0.002681471257102752
2023-07-20,-0.00047146666666666656,-0.0001490001614302009,0.0020159261710270496
2023-07-21,0.0046883,0.0048645490759283705,0.0036312949687189915
2023-07-24,-0.0014958333333333334,-0.0019020680525286325,-0.001899890714272692
2023-07-25,-0.0006577333333333331,-0.000289548813976777,-0.002138180136955596
2023-07-26,-0.0008085,-0.0006151285855840027,0.0005254132814218645
2023-07-27,-0.0001044000000000005,-0.0004380556589742047,0.0023309851172904432
2023-07-28,-7.096666666666675e-05,2.041262717977733e-06,-0.0001223765618602772
2023-07-31,-0.000505,-0.0006354671511114219,-0.0022289641776207176
2023-08-01,0.0019381666666666668,0.0018140470129553333,0.002969906356142819
2023-08-02,0.0027994666666666668,0.0026939657730772593,0.0019033440554970579
2023-08-03,0.0001407666666666667,0.00022040114712992102,-0.0007237451541260071
2023-08-04,-0.00014913333333333345,-0.0002427156620163246,-0.0003571267092796354
2023-08-07,0.001477733333333333,0.0018292488043328932,0.0011436450030963036
2023-08-08,-0.0009161666666666667,-0.0011656379834135543,-0.0013258244544757998
2023-08-09,-0.000698333333333333,-0.0009000630067110456,-0.0005935897652870972
2023-08-10,0.0016088666666666666,0.001655380885481129,0.001820727203522166
