date,average_correlation,average_annualized_volatility,joint_stress_score
2023-09-27,0.03690233332626216,0.1171712375107005,-0.32255902493693817
2023-09-28,0.0353150164654541,0.11807887693224697,-0.3183949114204917
2023-09-29,0.03649933035288803,0.11810772707651537,-0.31118037873437565
2023-10-02,0.036612397869523736,0.11819079799172258,-0.30931748885140536
2023-10-03,0.04509358866522859,0.11835616935807784,-0.25825503310646375
2023-10-04,0.04310961584170114,0.11882589922746503,-0.262767594874961
2023-10-05,0.04177937205919166,0.11901190837934882,-0.2676781954422
2023-10-06,0.042841577030881775,0.12047361198055037,-0.24021779081428846
2023-10-09,0.04145703638166591,0.12056361995876445,-0.2468432162689217
2023-10-10,0.042053729182464895,0.12037000502734202,-0.24625117763421756
2023-10-11,0.038981327936731716,0.12085489957007903,-0.2567848756929072
2023-10-12,0.036694093783337524,0.1202895976858868,-0.2781674979790037
2023-10-13,0.0361615101019192,0.11991955528501098,-0.28663168474882894
2023-10-16,0.04223714388916231,0.12102971886908322,-0.23555511748842922
2023-10-17,0.043203203078301715,0.12086487416794833,-0.23242395108334163
2023-10-18,0.03975584632151478,0.11995758819644532,-0.26545991878878517
2023-10-19,0.03767052441024919,0.12096814967843925,-0.2626476060532634
2023-10-20,0.04092001282411422,0.12196373830052383,-0.22945568086869253
2023-10-23,0.03976084003844221,0.12277603243257487,-0.22422970179922086
2023-10-24,0.03944042243030911,0.12304976010085987,-0.22206599612057298
2023-10-25,0.04070030913764017,0.12325966506870581,-0.21177124632638022
2023-10-26,0.042044535690539855,0.12386005079360736,-0.19528449102347573
2023-10-27,0.04485201691989905,0.12404852193079091,-0.17642664444482814
2023-10-30,0.04217013852862265,0.12374827052008602,-0.19619814550603867
2023-10-31,0.04310566176261221,0.1233843063095495,-0.19615296100871432
2023-11-01,0.045215490786259215,0.12355101299815006,-0.1816147535399883
2023-11-02,0.04481584161637451,0.12351666411934585,-0.18440912388299302
2023-11-03,0.04480237500361818,0.12368529387737576,-0.18202124041897233
2023-11-06,0.04394666115445186,0.12453703329559383,-0.1744781004214784
2023-11-07,0.04594478203737854,0.12433222092809673,-0.16601168023494145
2023-11-08,0.04591629738370543,0.1240355736756761,-0.17051161106423793
2023-11-09,0.04598537656801489,0.12437092581564169,-0.16521303563035258
2023-11-10,0.055638919921840474,0.12466355801826999,-0.10556603108694343
2023-11-13,0.055059268456138524,0.12413476829029266,-0.1166208373424833
2023-11-14,0.05525692528662878,0.12403441106022192,-0.11695422848096608
2023-11-15,0.057336214159111346,0.12409047256138524,-0.10420866047106257
2023-11-16,0.0578454082042864,0.12329096201381147,-0.11297579909713909
2023-11-17,0.08549528976144281,0.12779807438930815,0.1115011281461223
2023-11-20,0.084713797380808,0.1278287639662322,0.1074674148019156
2023-11-21,0.08558747655957001,0.12767635712778005,0.110250547268027
2023-11-22,0.08300971811106393,0.127600047156574,0.09434993927106655
2023-11-23,0.0824162313098246,0.12809826123090035,0.09822908760654112
2023-11-24,0.08072638302652203,0.1282876228112102,0.0913049366074797
2023-11-27,0.08153440142287112,0.12778287235176605,0.08856070946899805
2023-11-28,0.08262918008701478,0.12747085388273152,0.09027869561151713
2023-11-29,0.08568600349706093,0.12797414390433728,0.11516887286041654
2023-11-30,0.08567641673795251,0.12720857355228857,0.10392235642252948
2023-12-01,0.08331072771271462,0.12801557565804952,0.10215084392941765
2023-12-04,0.08205016881213716,0.12872361599924745,0.10527127032644175
2023-12-05,0.07695999233778193,0.128636095050617,0.0747964758247473
2023-12-06,0.07710593928004743,0.1286882193110672,0.07639555460653372
2023-12-07,0.07862042008601852,0.12818674947954153,0.07775129193917896
2023-12-08,0.08007004225170956,0.12771804170591047,0.07921395802098664
2023-12-11,0.07999053957905922,0.12742757230062324,0.07451171793359038
2023-12-12,0.07978338360007477,0.12719956114534,0.06999035501562825
2023-12-13,0.07617693604460729,0.12737984209300465,0.051940555522495754
2023-12-14,0.08419620473201378,0.12762203965117228,0.10147668503966875
2023-12-15,0.08805997318437311,0.12651123956885796,0.10739953901656848
2023-12-18,0.09152346077237404,0.12723931580365977,0.1379082402541474
2023-12-19,0.08868024566516203,0.12739142382126956,0.12382421163774555
2023-12-20,0.08886263251055967,0.12691225609684012,0.11786557644784501
2023-12-21,0.09293963167117204,0.12642827264449227,0.13417459448465277
2023-12-22,0.09094432821696899,0.124040205462475,0.0878201883449512
2023-12-25,0.0954607929500361,0.12474589965461917,0.12404118299990952
2023-12-26,0.0946295577969441,0.12473649046316242,0.1191359776079081
2023-12-27,0.09284746214859606,0.12498771216602773,0.11258703537224121
2023-12-28,0.09468984229847766,0.12468504323632662,0.11872966317277074
2023-12-29,0.0912407998875817,0.1241832195100069,0.09161129827628314
2024-01-01,0.09287640686665014,0.12354489196015492,0.09166110869378113
2024-01-02,0.09081506458987992,0.12402094658470324,0.08679724319351546
2024-01-03,0.0919967951020692,0.12337633939411406,0.08415198722760661
2024-01-04,0.09188136204893231,0.1247195362180586,0.10312549925060352
2024-01-05,0.09259657442584188,0.12533501245202394,0.1162250638637405
2024-01-08,0.12137709713391459,0.13109953528804655,0.36556845029298435
2024-01-09,0.11712275021231786,0.13497763631141113,0.3978593169744894
2024-01-10,0.15574025804768796,0.14206923264498333,0.723023896265029
2024-01-11,0.2127302153561155,0.14884087243278377,1.1488887320615833
2024-01-12,0.28584552448208334,0.15820302161552235,1.7051121043851223
2024-01-15,0.27414493957907216,0.16181500552922573,1.690803863993029
2024-01-16,0.3144137099311468,0.16762459891708917,2.006698445527926
2024-01-17,0.31368884544662357,0.16858175455201177,2.0165331214572677
2024-01-18,0.3119466177047739,0.16904464371191844,2.013307118572859
2024-01-19,0.32466839023716554,0.17123807774466648,2.1183393192904685
2024-01-22,0.3143178427672136,0.1743699664467728,2.1047560960186527
2024-01-23,0.35995573752245047,0.1834170404107252,2.4987732639622204
2024-01-24,0.3742412021152255,0.18819861567563512,2.650609100892259
2024-01-25,0.37463301768466384,0.19329031700247887,2.7272897126051507
2024-01-26,0.377491362487086,0.19648025080855347,2.7903163332183896
2024-01-29,0.38280559345112525,0.19944871050344332,2.864191375352841
2024-01-30,0.3799525662263759,0.20067393628400726,2.8657384963664185
2024-01-31,0.37841724495120277,0.20302269030916836,2.891267846696221
2024-02-01,0.38972343305502744,0.2067420955468833,3.0104882700914626
2024-02-02,0.38507891588912596,0.20950434418600383,3.024229118318135
2024-02-05,0.38452061994071024,0.21333058690025952,3.0769610695506
2024-02-06,0.4241977037218823,0.22322345811545388,3.449153567368783
2024-02-07,0.42190393470768034,0.2240963653939251,3.4487579996162117
2024-02-08,0.41978462020120405,0.22524980950457482,3.4534640806299293
2024-02-09,0.41849301085056195,0.22637505131093746,3.4625052946571397
2024-02-12,0.4213604088311297,0.2288625628118636,3.5153154436367227
2024-02-13,0.42271758682980476,0.23114954541358615,3.5565320885288445
2024-02-14,0.41935208323168405,0.22885427141450818,3.5036752244170826
2024-02-15,0.41656201056179626,0.22968996695290622,3.499889061140844
2024-02-16,0.41926693890195976,0.23334253682369432,3.5687988113854763
